title,url,time_published,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
Super Micro Computer Just Made a Big Announcement and the Stock Is Soaring -- Is It Finally Time to Buy?,https://www.fool.com/investing/2024/12/02/super-micro-computer-made-a-big-announcement-and-t/,2024-12-02 20:26:58,Motley Fool,0.093658,Neutral,"[{'ticker': 'SMCI', 'relevance_score': '0.101367', 'ticker_sentiment_score': '0.148728', 'ticker_sentiment_label': 'Neutral'}]"
Symbotic  ( SYM )  Shares Crash After Admitting Improper Revenue Recognition - Hagens Berman - Symbotic  ( NASDAQ:SYM ) ,https://www.benzinga.com/pressreleases/24/12/g42275694/symbotic-sym-shares-crash-after-admitting-improper-revenue-recognition-hagens-berman,2024-12-02 20:30:45,Benzinga,0.111126,Neutral,"[{'ticker': 'SYM', 'relevance_score': '0.499102', 'ticker_sentiment_score': '0.032736', 'ticker_sentiment_label': 'Neutral'}]"
Bitcoin Mining Revenue Rises as Public Firms Reap Sizable Stock Gains: JP Morgan,https://decrypt.co/294411/bitcoin-mining-revenue-rises-stock-gains,2024-12-02 20:51:30,Decrypt.co,0.271869,Somewhat-Bullish,"[{'ticker': 'IREN', 'relevance_score': '0.067919', 'ticker_sentiment_score': '0.230123', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSTR', 'relevance_score': '0.067919', 'ticker_sentiment_score': '0.227097', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WULF', 'relevance_score': '0.067919', 'ticker_sentiment_score': '0.189798', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.067919', 'ticker_sentiment_score': '0.005081', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ARBK', 'relevance_score': '0.067919', 'ticker_sentiment_score': '0.005072', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HUT', 'relevance_score': '0.067919', 'ticker_sentiment_score': '0.230123', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.911721', 'ticker_sentiment_score': '0.447027', 'ticker_sentiment_label': 'Bullish'}]"
"Trump defense pick Pete Hegseth faces new media report on alleged alcohol abuse, sexual impropriety",https://www.cnbc.com/2024/12/02/trump-defense-pentagon-pete-hegseth-drinking-sex-finances-.html,2024-12-02 20:58:33,CNBC,-0.171733,Somewhat-Bearish,"[{'ticker': 'FOX', 'relevance_score': '0.049526', 'ticker_sentiment_score': '0.175123', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Fox Corporation Chief Financial Officer Steve Tomsic to Participate in Upcoming UBS Global Media and Communications Conference - Fox  ( NASDAQ:FOXA ) , Fox  ( NASDAQ:FOX ) ",https://www.benzinga.com/pressreleases/24/12/n42276256/fox-corporation-chief-financial-officer-steve-tomsic-to-participate-in-upcoming-ubs-global-media-a,2024-12-02 21:00:00,Benzinga,0.422926,Bullish,"[{'ticker': 'FOX', 'relevance_score': '0.969093', 'ticker_sentiment_score': '0.678831', 'ticker_sentiment_label': 'Bullish'}]"
"PDF Solutions announces industry leaders speaking at its AI Executive Conference on Dec 12th, 2024, in San Francisco. - PDF Solutions  ( NASDAQ:PDFS ) ",https://www.benzinga.com/pressreleases/24/12/g42276239/pdf-solutions-announces-industry-leaders-speaking-at-its-ai-executive-conference-on-dec-12th-2024-,2024-12-02 21:00:00,Benzinga,0.267693,Somewhat-Bullish,"[{'ticker': 'PDFS', 'relevance_score': '0.856646', 'ticker_sentiment_score': '0.467781', 'ticker_sentiment_label': 'Bullish'}]"
Cytokinetics to Participate in December Investor Conferences - Cytokinetics  ( NASDAQ:CYTK ) ,https://www.benzinga.com/pressreleases/24/12/g42276237/cytokinetics-to-participate-in-december-investor-conferences,2024-12-02 21:00:00,Benzinga,0.047343,Neutral,"[{'ticker': 'EVR', 'relevance_score': '0.057767', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.057767', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.057767', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CYTK', 'relevance_score': '0.871926', 'ticker_sentiment_score': '0.037271', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'L', 'relevance_score': '0.057767', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
Thornburg Income Builder Opportunities Trust Announces Distribution - Thornburg Inc Builder  ( NASDAQ:TBLD ) ,https://www.benzinga.com/pressreleases/24/12/n42276341/thornburg-income-builder-opportunities-trust-announces-distribution,2024-12-02 21:01:00,Benzinga,0.297783,Somewhat-Bullish,"[{'ticker': 'TBLD', 'relevance_score': '0.107817', 'ticker_sentiment_score': '0.175655', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Riyadh Metro Successfully Delivered by Parsons-Led Joint Venture,https://www.globenewswire.com/news-release/2024/12/02/2990132/0/en/Riyadh-Metro-Successfully-Delivered-by-Parsons-Led-Joint-Venture.html,2024-12-02 21:05:00,GlobeNewswire,0.254187,Somewhat-Bullish,"[{'ticker': 'META', 'relevance_score': '0.080458', 'ticker_sentiment_score': '0.108077', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PSN', 'relevance_score': '0.774534', 'ticker_sentiment_score': '0.456013', 'ticker_sentiment_label': 'Bullish'}]"
Skyharbour Announces Brokered Private Placement for Gross Proceeds of up to C$8.5 Million,https://www.globenewswire.com/news-release/2024/12/02/2990145/0/en/Skyharbour-Announces-Brokered-Private-Placement-for-Gross-Proceeds-of-up-to-C-8-5-Million.html,2024-12-02 21:07:00,GlobeNewswire,0.265647,Somewhat-Bullish,"[{'ticker': 'RIO', 'relevance_score': '0.022707', 'ticker_sentiment_score': '0.12683', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BURCF', 'relevance_score': '0.022707', 'ticker_sentiment_score': '0.121553', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MEDAF', 'relevance_score': '0.022707', 'ticker_sentiment_score': '0.121553', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'VOYRF', 'relevance_score': '0.022707', 'ticker_sentiment_score': '0.121553', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BSLK', 'relevance_score': '0.022707', 'ticker_sentiment_score': '0.121553', 'ticker_sentiment_label': 'Neutral'}]"
