time_published,Adj Close,Al Jareeza,Associated Press,Barrons,Benzinga,Business Insider,Business Standard,CNBC,CNN,Canada Newswire,Cointelegraph,Decrypt.co,Financial News London,Financial Times,Forbes,Fox Business News,GlobeNewswire,Investing News Network,Investor Ideas,Investors Business Daily,Kiplinger,MarketWatch,Money Control,Money Morning,Motley Fool,New York Times,PR Newswire,PennyStocks.com,Reuters,South China Morning Post,StockMarket.com,Stocknews.com,The Atlantic,The Economist,The Financial Express,The Street,The Week News,UPI Business,Wall Street Journal,Zacks Commentary
2023-09-01,374.4758605957031,-1.0,0.011935666666666669,0.152958,0.17351457142857143,0.15625375,-1.0,-0.108245,-0.0968465,-1.0,0.184718,-1.0,-1.0,-1.0,-0.03124,-1.0,0.15979133333333334,-1.0,-1.0,-1.0,-1.0,0.019363,-1.0,-0.023914,0.15531319999999998,-1.0,0.3055113333333333,-1.0,0.126932,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19306322222222225
2023-09-05,374.9518737792969,-1.0,-0.043037,-1.0,0.22485233333333335,0.1130845,-1.0,0.080024,0.091604,-1.0,-0.020069999999999998,0.050042,-1.0,-1.0,0.045524,0.224725,0.199319,-1.0,-1.0,-1.0,0.139093,-1.0,-1.0,-1.0,0.014499999999999999,0.061763750000000006,0.0969805,-1.0,-0.031188,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.20426418181818182
2023-09-06,371.6493225097656,-1.0,0.062341,0.097872,0.25572354545454545,0.073166,-1.0,-0.03700166666666666,-0.061244,0.31681366666666666,0.274579,-1.0,-1.0,-1.0,0.02808133333333333,0.216113,0.21217,-1.0,-1.0,-0.031615,-1.0,0.029862500000000007,-1.0,-1.0,-1.0,-0.107149,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.114045,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1757561875
2023-09-07,368.991455078125,-1.0,0.2309365,-1.0,0.206763125,-0.019377,-1.0,-0.1079,-0.198546,0.30836766666666665,-1.0,0.007246,-1.0,-1.0,0.23383700000000002,-0.031304,0.09511649999999999,-1.0,-1.0,0.132852,-1.0,-0.288128,-1.0,-1.0,0.24299066666666666,-0.03649033333333333,0.325506,-1.0,0.173025,-1.0,-1.0,-1.0,0.159195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2146520625
2023-09-08,369.5071716308594,-1.0,-0.041194,-1.0,0.16306579999999998,0.0791055,-1.0,-1.0,-0.035940875,-1.0,-1.0,-1.0,-1.0,-1.0,-0.424582,-0.014421,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23675000000000002,0.009036000000000002,0.24792925000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.209266,-1.0,-1.0,-1.0,0.19821666666666668
2023-09-11,373.8609619140625,-1.0,-0.060264500000000006,-1.0,0.20620375,0.1827665,0.252044,0.2414715,-0.047282,0.212628,0.171213,0.177215,-1.0,-1.0,0.011551499999999992,0.145256,0.209715,-1.0,-1.0,0.0909685,-1.0,0.36369850000000004,-1.0,-1.0,-1.0,-0.009582333333333333,-1.0,-1.0,0.229026,0.162749,-1.0,-1.0,-1.0,-1.0,-0.09308250000000001,-1.0,-1.0,-1.0,-1.0,0.2102133846153846
2023-09-12,369.7154846191406,0.048411,0.01674,0.164525,0.15171753333333332,-1.0,0.285702,0.11463699999999999,-0.06860049999999998,0.1717775,-1.0,0.048197,-1.0,-1.0,-0.187006,-1.0,0.128429,-1.0,-1.0,-0.007271,-1.0,0.0299645,-1.0,-1.0,0.09424949999999999,-0.010735,0.0635135,-1.0,0.040395,-1.0,-1.0,-1.0,-1.0,-1.0,-0.153968,-1.0,0.016887,-1.0,-1.0,0.13653142857142858
2023-09-13,371.12371826171875,-1.0,-0.04819366666666667,0.27613299999999996,0.2269679,0.1503585,-1.0,0.10158,-0.10917866666666666,0.18403,-1.0,0.077056,-1.0,-1.0,0.031412999999999996,0.12082820000000001,0.098433,-1.0,-1.0,-1.0,-1.0,0.111074,-1.0,-1.0,0.141014,-0.071232,0.0473835,-1.0,0.070326,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1666678888888889
2023-09-14,374.1584777832031,-1.0,-1.0,-1.0,0.20854055555555556,0.435391,-1.0,0.1554734,-0.024393,-1.0,-1.0,0.257625,-1.0,-1.0,0.121568,-0.04633066666666666,0.32416,-1.0,-1.0,-1.0,-1.0,0.108018,-1.0,0.261988,-1.0,-0.185854,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.07197900000000002,-1.0,-1.0,-0.0419605,-1.0,0.2150169
2023-09-15,367.7518005371094,-1.0,-0.049651,-1.0,0.21077866666666667,0.018347000000000002,-1.0,0.100392,-0.018587499999999996,0.13711,-1.0,-1.0,-1.0,-1.0,0.312306,-0.17652,0.266789,-1.0,-1.0,-0.051003,-1.0,-1.0,-1.0,-1.0,0.06459124999999999,0.14941,0.2923844285714286,-1.0,0.204838,-1.0,-1.0,-1.0,0.168621,-1.0,-1.0,0.200692,-1.0,-1.0,-1.0,0.1935522
